customer_id,name,mobile
C001,Amit,9909839068
C002,Neha,9845996262
C003,Priya,9816222988
C004,Sanjay,9145937164
C005,Anjali,9965472997
C006,Vikram,9998617181
C007,Deepak,9555882555
C008,Sunita,9526556068
C009,Rohan,9103345795
C010,Kiran,9263723213
C011,Meera,9653645184
C012,Arun,9227887457
C013,Suresh,9100522134
C014,Pooja,9366899133
C015,Rajesh,9419870483
C016,Swati,9752709740
C017,Aditya,9286793755
C018,Kavita,9574061557
C019,Vijay,9707522034
C020,Rahul,9976528282
C021,Amit,9548824904
C022,Neha,9896114910
C023,Priya,9209793232
C024,Sanjay,9937464591
C025,Anjali,9437089074
C026,Vikram,9217020315
C027,Deepak,9189372432
C028,Sunita,9609234912
C029,Rohan,9263862864
C030,Kiran,9179701960
C031,Meera,9559294487
C032,Arun,9366435485
C033,Suresh,9607632483
C034,Pooja,9476125621
C035,Rajesh,9611440569
C036,Swati,9564220206
C037,Aditya,9860223941
C038,Kavita,9636799206
C039,Vijay,9243924578
C040,Rahul,9417379269
C041,Amit,9363944894
C042,Neha,9933644366
C043,Priya,9504351887
C044,Sanjay,9303840216
C045,Anjali,9236403878
C046,Vikram,9685386834
C047,Deepak,9964207289
C048,Sunita,9515813677
C049,Rohan,9892908460
C050,Kiran,9912710100
C051,Meera,9717350445
C052,Arun,9114446346
C053,Suresh,9491109767
C054,Pooja,9156747488
C055,Rajesh,9204389536
C056,Swati,9974372549
C057,Aditya,9279557755
C058,Kavita,9101654842
C059,Vijay,9437830482
C060,Rahul,9953802019
C061,Amit,9754315397
C062,Neha,9743823272
C063,Priya,9615778717
C064,Sanjay,9944726232
C065,Anjali,9977177995
C066,Vikram,9667972638
C067,Deepak,9294841311
C068,Sunita,9713584613
C069,Rohan,9939089513
C070,Kiran,9635138532
C071,Meera,9513441182
C072,Arun,9388455150
C073,Suresh,9351524535
C074,Pooja,9890583412
C075,Rajesh,9361682686
C076,Swati,9686038540
C077,Aditya,9501310999
C078,Kavita,9853755250
C079,Vijay,9110881533
C080,Rahul,9890964235
C081,Amit,9989121933
C082,Neha,9435000043
C083,Priya,9446998030
C084,Sanjay,9865907939
C085,Anjali,9873466220
C086,Vikram,9110372954
C087,Deepak,9197066879
C088,Sunita,9811651494
C089,Rohan,9841852977
C090,Kiran,9973433287
C091,Meera,9436113911
C092,Arun,9885460341
C093,Suresh,9643254717
C094,Pooja,9906477640
C095,Rajesh,9322605470
C096,Swati,9149854774
C097,Aditya,9306439056
C098,Kavita,9745817991
C099,Vijay,9624451734
C100,Rahul,9325376603
C101,Dhanush,9353385423
C102,Nishmitha,9880000102
C103,Basavaraj,9880000103
C104,Pavithra,9880000104
C105,Thilak Chandar,9880000105
